DOI,PREFIX,ISSN,type,publisher,title,date,reference-count,alt title,score
10.1007/978-3-030-38603-0_33,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,13,A Criterion of Optimality of Some Parallelization Scheme for Backtrack Search Problem in Binary Trees,3.0544772
10.1007/978-3-030-38603-0_35,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,7,Two Optimization Problems for a Material Point Moving Along a Straight Line in the Presence of Friction and Limitation on the Velocity,3.0544772
10.1007/978-3-030-38603-0_22,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,7,Dual Multiplicative-Barrier Methods for Linear Second-Order Cone Programming,3.0544772
10.1007/978-3-030-38603-0_29,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,19,A Smoothing Lagrange Multiplier Method for Solving the Quasi-variational Signorini’s Inequality,3.0544772
10.1007/978-3-030-38603-0_27,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,12,Investigation of the Problem of Optimal Control by a System ODE of Block Structure with Blocks Connected only by Boundary Conditions,3.0544772
10.1007/978-3-030-38603-0_14,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,17,Comparison of Direct and Indirect Approaches for Numerical Solution of the Optimal Control Problem by Evolutionary Methods,3.0544772
10.1007/978-3-030-38603-0_11,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,11,An Approximate Solution of a GNSS Satellite Selection Problem Using Semidefinite Programming,3.0544772
10.1007/978-3-030-38603-0_21,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,13,Computational Methods for the Stable Dynamic Model,3.0544772
10.1007/978-3-030-38603-0_8,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,16,Equity-Linked Notes Portfolio Optimization,3.0544772
10.1007/978-3-030-38603-0_18,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,11,P-Regularity Theory and Nonlinear Optimization Problems,3.0544772
10.1007/978-3-030-38603-0_4,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,20,Distance-Constrained Line Routing Problem,3.0544772
10.1007/978-3-030-38603-0_5,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,35,"Problems of Synthesis, Analysis and Optimization of Parameters for Multidimensional Mathematical Models of Interconnected Populations Dynamics",3.0544772
10.1007/978-3-030-38603-0_28,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,39,A Graph-Theoretic Approach to Multiobjective Permutation-Based Optimization,3.0544772
10.1007/978-3-030-38603-0_32,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,10,Computational Experience and Challenges with the Conjugate Epi-Projection Algorithms for Non-smooth Optimization,3.0544772
10.1088/1757-899x/719/1/012012,10.1088,1757-899X,journal-article,IOP Publishing,IOP Conference Series: Materials Science and Engineering,2020/1/8,4,Investigation and Thinking on the Information Construction of South China University of Technology,3.8240283
10.1111/hypa.12202,10.1017,0887-5367,journal-article,Cambridge University Press (CUP),Hypatia,2020/1/10,0,Issue information ‐ Copyright page,4.8986945
10.1111/hypa.12333,10.1017,0887-5367,journal-article,Cambridge University Press (CUP),Hypatia,2020/1/10,32,Can Non‐Europeans Philosophize? Transnational Literacy and Planetary Ethics in a Global Age,7.946987
10.1111/j.1540-6563.2008.00221_30.x,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,"Spreading the Word: A History of Information in the California Gold Rush. By Richard T. Stillson. (Lincoln, Neb.: University of Nebraska Press, 2006. Pp. viii, 274. $55.00.)",3.0544772
10.1111/hisn.12077_70,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,"Power and Knowledge: How Information and Technology Made the Modern World. By Jeremy Black. (New Haven, CT: Yale University Press, 2014. Pp. xii, 412. $40.00.)",3.0544772
10.1111/hisn.12159,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12328,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ In this Issue,4.4303546
10.1111/hisn.12329,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Prelim page,4.4303546
10.1111/hisn.12077_8,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,"Cables, Crises, and the Press: The Geopolitics of the New International Information System in the Americas, 1866–1903. By John A. Britton. (Albuquerque, NM: University of New Mexico Press, 2013. Pp. xv, 473. $60.00.)",3.0544772
10.1111/hisn.12158,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ TOC,4.8986945
10.1111/hisn.12157,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Prelim page,4.4303546
10.1111/hisn.12156,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ In this Issue,4.4303546
10.1111/hisn.12232,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,"Power and Knowledge: How Information and Technology Made the Modern World. By Jeremy Black. (New Haven, CT: Yale University Press, 2014. Pp. xii, 412. $40.00.)",3.0544772
10.1111/hisn.12241,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Prelim page,4.4303546
10.1111/hisn.12242,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ TOC,4.8986945
10.1111/hisn.12325,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Prelim page,4.4303546
10.1111/hisn.12324,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ In this Issue,4.4303546
10.1111/hisn.12327,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12326,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ TOC,4.8986945
10.1111/hisn.12417,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ TOC,4.8986945
10.1111/hisn.12416,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Prelim page,4.4303546
10.1111/hisn.12392,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,"The Whispers of Cities: Information Flows in Istanbul, London, & Paris in the Age of William Trumbull. By John-Paul Ghobrial. (Oxford, United Kingdom: Oxford University Press, 2014. Pp. 208. $99.00.)",3.0544772
10.1111/hisn.12502,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12501,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ TOC,4.8986945
10.1111/hisn.12330,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information,4.8986945
10.1111/hisn.12331,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12333,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12332,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information,4.8986945
10.1111/hisn.12334,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information,4.8986945
10.1111/hisn.12335,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12663,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information,4.8986945
10.1111/hisn.12664,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12666,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12665,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information,4.8986945
10.1111/hisn.12667,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information,4.8986945
10.1111/hisn.12668,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12669,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information,4.8986945
10.1111/hisn.12670,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12911,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information,4.8986945
10.1111/hisn.12912,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1111/hisn.12913,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information,4.8986945
10.1111/hisn.12914,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/1/10,0,Issue Information ‐ Instructions for Authors,4.4303546
10.1002/ps.5465,10.1002,1526-498X,journal-article,Wiley,Pest Management Science,2020/1/14,0,Issue Information,4.4303546
10.1111/tbed.13235,10.1111,1865-1674,journal-article,Wiley,Transboundary and Emerging Diseases,2020/1/18,0,Issue Information,4.8986945
10.1080/13614533.2019.1589542,10.1080,1361-4533,journal-article,Informa UK Limited,New Review of Academic Librarianship,2020/1/20,25,From Information Literacy to the Learner Journey: Aligning Academics and Librarians through Pedagogic Research,10.683413
10.1080/13614533.2019.1658120,10.1080,1361-4533,journal-article,Informa UK Limited,New Review of Academic Librarianship,2020/1/20,46,"Children’s Studies, Archives Literacy, and Cultural Contexts: Designing Teaching for Academic Library Learning",6.859384
10.1037/edu0000364,10.1037,1939-2176,journal-article,American Psychological Association (APA),Journal of Educational Psychology,2020/1/30,0,Control over spatial representation format enhances information extraction but prevents long-term learning.,3.8240283
10.1111/imj.14356,10.1111,1444-0903,journal-article,Wiley,Internal Medicine Journal,2020/1/31,61,Are general practitioners getting the information they need from hospitals and specialists to provide quality cancer care for Indigenous Australians?,2.1288822
10.2196/13207,10.2196,2561-326X,journal-article,JMIR Publications Inc.,JMIR Formative Research,2020/1/31,44,A Co-Designed Social Media Intervention to Satisfy Information Needs and Improve Outcomes of Patients With Chronic Kidney Disease: Longitudinal Study,3.8240283
10.1080/14723808.1981.10540900,10.1017,1472-3808,journal-article,Cambridge University Press (CUP),Royal Musical Association Research Chronicle,2020/2/3,73,New Information About the Life of Alfonso Ferrabosco the Elder (1543–1588),3.8240283
10.1111/hisn.12915,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/2/4,0,Issue Information,4.8986945
10.1111/hisn.12916,10.1080,0018-2370,journal-article,Informa UK Limited,The Historian,2020/2/4,0,Issue Information ‐ Instructions For Authors,4.4303546
10.1080/14461242.2019.1708206,10.1080,1446-1242,journal-article,Informa UK Limited,Health Sociology Review,2020/2/24,63,Lactation after infant death: an analysis of Australian healthcare agencies’ online health information,3.8240283
10.1142/s0219749919410119,10.1142,0219-7499,journal-article,World Scientific Pub Co Pte Lt,International Journal of Quantum Information,2020/3/6,18,Collapse models tested in the LNGS underground laboratories,3.0544772
10.14742/ajet.4711,10.14742,1449-5554,journal-article,Australasian Society for Computers in Learning in Tertiary Education,Australasian Journal of Educational Technology,2019/10/16,0,Digital literacy practices of Turkish pre-service EFL teachers,6.859384
10.1007/978-3-030-25016-4_10,10.1007,2214-4218,book-chapter,Springer International Publishing,International Explorations in Outdoor and Environmental Education,2020/1/1,45,Environmental Literacy for All: Innovating Environmental Education for Teacher Education Majors and Non-education Majors,5.478995
10.1142/s0219749919410223,10.1142,0219-7499,journal-article,World Scientific Pub Co Pte Lt,International Journal of Quantum Information,2020/4/15,11,About the quantum Fisher information of nearly pure quantum statistical models,5.3682075
10.1145/3373722.3373785,10.1145,n/a,proceedings-article,ACM,Proceedings of the XI International Scientific Conference Communicative Strategies of the Information Society,2020/1/22,24,Computer Technology in Art (Venice Biennale 2019),3.8240283
10.1111/1468-5922.12489,10.1111,0021-8774,journal-article,Wiley,Journal of Analytical Psychology,2020/5/5,0,Issue Information,4.4303546
10.1111/1751-2980.12725,10.1111,1751-2972,journal-article,Wiley,Journal of Digestive Diseases,2020/1/14,0,Issue Information,4.4303546
10.1080/00221325.2020.1712319,10.1080,0022-1325,journal-article,Informa UK Limited,The Journal of Genetic Psychology,2020/5/5,28,Children’s selective information sharing based on the recipient’s role,3.8240283
10.1080/00221325.2019.1709409,10.1080,0022-1325,journal-article,Informa UK Limited,The Journal of Genetic Psychology,2020/5/5,56,Adjective Learning by Spanish-Speakers Children and Adults. The Impact of Morphology and Semantic Information,3.0544772
10.1080/24751839.2020.1718443,10.1080,2475-1839,journal-article,Informa UK Limited,Journal of Information and Telecommunication,2020/5/6,9,Path histogram distance and complete subtree histogram distance for rooted labelled caterpillars,5.3682075
10.1080/00377996.2020.1718584,10.1080,0037-7996,journal-article,Informa UK Limited,The Social Studies,2020/5/6,34,Learning Racial Literacy While Navigating White Social Studies,7.946987
10.1177/2513850219888031,10.1177,2513-8502,journal-article,SAGE Publications,Journal of Chinese Writing Systems,2020/5/7,47,Associations between young children’s  print fixations during book reading and  their early literacy skills,5.478995
10.1080/17517575.2020.1712742,10.1080,1751-7575,journal-article,Informa UK Limited,Enterprise Information Systems,2020/5/7,29,Classification of spammer and nonspammer content in online social network using genetic algorithm-based feature selection,5.3682075
10.1111/bld.12306,10.1111,1354-4187,journal-article,Wiley,British Journal of Learning Disabilities,2020/5/7,32,Ensuring meaningful access to easy‐to‐read information: A case study,3.8240283
10.1080/15980316.2019.1710585,10.1080,1598-0316,journal-article,Informa UK Limited,Journal of Information Display,2020/5/7,20,Improvement of the stability and optoelectronic characteristics of molybdenum disulfide thin-film transistors by applying a nitrocellulose passivation layer,4.561547
10.1364/josaa.37.000174,10.1364,1084-7529,journal-article,The Optical Society,Journal of the Optical Society of America A,2020/1/3,10,Probability of error for detecting a change in a parameter and Bayesian Fisher information,3.0544772
10.1111/tan.13586,10.1111,2059-2302,journal-article,Wiley,HLA,2020/5/8,0,Issue Information,4.8986945
10.1177/1833358319897928,10.1177,1833-3583,journal-article,SAGE Publications,Health Information Management Journal,2020/1/23,48,Under-coding of dementia and other conditions indicates scope for improved patient management: A longitudinal retrospective study of dementia patients in Australia,3.0544772
10.5824/ajit-e.2019.04.008,10.5824,1309-1581,journal-article,AJIT - E Academic Journal of Information Technology,Fall,2020/5/10,0,Tedarik Zinciri Yönetiminde Gösterge Paneli Uygulaması,3.8240283
10.30646/sinus.v18i1.440,10.30646,2548-4028,journal-article,STMIK Sinar Nusantara Surakarta,Jurnal Ilmiah SINUS,2020/5/11,0,Penerapan Sistem Penunjang Keputusan Menggunakan Algoritma Naive Bayes Pada konsep Human Resource Information System (HRIS) (Studi kasus :Penerusan Kontrak Kerja Karyawan di PT. XYZ),3.0544772
10.1111/sipr.12057,10.1111,1751-2395,journal-article,Wiley,Social Issues and Policy Review,2020/5/11,0,Issue Information ‐ TOC,4.4303546
10.33140/mcr.05.01.01,10.33140,2577-8005,journal-article,Opast Group LLC,Medical & Clinical Research,2020/5/12,100,Loss of Information Associated with the Perceptomotor Cognitive Domain: Praxis,4.8986945
10.21608/jsst.2020.23868.1011,10.21608,2682-3543,journal-article,Egypts Presidential Specialized Council for Education and Scientific Research,مجلة البحوث المالیة والتجاریة,2020/5/12,0,أثر إدارة التکلفة البینیة لأعضاء سلسلة التورید على أمن المعلومات المحاسبیة The impact of Inter-Organizational Cost Management of supply chain members on the security of accounting information,3.0544772
10.1021/hsv027i001_1348398,10.1021,1871-5532,journal-article,American Chemical Society (ACS),ACS Chemical Health & Safety,2020/5/12,0,Issue Publication Information,4.4303546
10.1111/geb.12942,10.1111,1466-822X,journal-article,Wiley,Global Ecology and Biogeography,2020/5/12,0,Issue Information,4.4303546
10.29252/sjku.24.6.12,10.29252,1560-652X,journal-article,Armenian Green Publishing Co.,Scientific Journal of Kurdistan University of Medical Sciences,2020/5/13,0,Equity in distribution of hospital beds in Iran,2.1288822
10.1080/20479700.2019.1688504,10.1080,2047-9700,journal-article,Informa UK Limited,International Journal of Healthcare Management,2020/1/7,89,Assessing the risk of hospital information system implementation using IVIF FMEA approach,3.8240283
10.31933/dijdbm.v1i1.106,10.31933,2715-4203,journal-article,LPPM Universitas EKASAKTI,Dinasti International Journal of Digital Business Management,2020/5/14,0,IMPLEMENTATION OF INFORMATION SYSTEM IN TRAVELOKA COMPANY,4.4303546
10.1088/1757-899x/734/1/012122,10.1088,1757-899X,journal-article,IOP Publishing,IOP Conference Series: Materials Science and Engineering,2020/1/29,3,Methodology of creation and application of business process management model based on organization information space in an organization,3.8240283
10.5897/err2019.3848,10.5897,1990-3839,journal-article,Academic Journals,Educational Research and Reviews,2020/5/14,55,"The relationship between emotional literacy, cognitive flexibility and counseling self-efficacy of senior students in psychology and psychological counseling and guidance",5.478995
10.36872/lepi/v51i1/301004,10.36872,0022-4324,journal-article,Lepidoptera Research Foundation Inc,Journal of Research on the Lepidoptera,2020/5/14,0,Evaluation of Management Information Systems in Health Organizations Case Study (Kirkuk Health Directorate),4.561547
10.18178/ijpmbs.9.1.33-37,10.18178,2278-5221,journal-article,EJournal Publishing,International Journal of Pharma Medicine and Biological Sciences,2020/5/15,0,Dynamic Functional Connectivity Analysis of Seafarer’s Brain Functional Networks,3.0544772
10.18178/ijpmbs.9.1.27-32,10.18178,2278-5221,journal-article,EJournal Publishing,International Journal of Pharma Medicine and Biological Sciences,2020/5/15,0,Development and Mining of a Human Biomarker Database,2.6081603
10.24108/2658-3143-2019-2-4-276-293,10.24108,2658-3143,journal-article,NPG Publishing,Scholarly Research and Information,2020/5/16,10,RUSSIAN CHEMICAL JOURNALS IN WEB OF SCIENCE DATABASE,4.4303546
10.24108/2658-3143-2019-2-4-248-275,10.24108,2658-3143,journal-article,NPG Publishing,Scholarly Research and Information,2020/5/16,27,"OPEN ACCESS ROUTES DICHOTOMY AND OPPORTUNITIES: CONSOLIDATION, ANALYSIS AND TRENDS AT THE SPANISH NATIONAL RESEARCH COUNCIL",3.8240283
10.24108/2658-3143-2019-2-4-216-227,10.24108,2658-3143,journal-article,NPG Publishing,Scholarly Research and Information,2020/5/16,10,PROGRAM MODULE FOR COLLECTION AND ANALYSIS OF SCIENTOMETRIC DATA OF FACULTY: POSSIBILITIES FOR INTEGRATION AND FURTHER DEVELOPMENT,3.0544772
10.1111/hir.12294,10.1111,1471-1834,journal-article,Wiley,Health Information & Libraries Journal,2020/5/18,16,Use of bibliometric analysis of Greek hospital personnel publications,3.8240283
10.1111/hir.12289,10.1111,1471-1834,journal-article,Wiley,Health Information & Libraries Journal,2020/5/18,37,Measures of self‐efficacy among doctors in conducting an online search for clinical decision making,3.0544772
10.1007/978-3-030-39634-3_3,10.1007,1868-4238,book-chapter,Springer International Publishing,IFIP Advances in Information and Communication Technology,2020/5/18,31,Evaluating Digitalization of Social Services from the Viewpoint of the Citizen,3.0544772
10.1007/978-3-030-39634-3_1,10.1007,1868-4238,book-chapter,Springer International Publishing,IFIP Advances in Information and Communication Technology,2020/5/18,25,Everybody Rock Your Equity: Experiences of Organizing a Women in Computing Event with Role Models for Diversity and Inclusion,2.6081603
10.1007/978-3-030-39634-3_14,10.1007,1868-4238,book-chapter,Springer International Publishing,IFIP Advances in Information and Communication Technology,2020/5/18,24,CuneiForce: Involving the Crowd in the Annotation of Unread Mesopotamian Cuneiform Tablets Through a Gamified Design,2.6081603
10.1007/978-3-030-39634-3_15,10.1007,1868-4238,book-chapter,Springer International Publishing,IFIP Advances in Information and Communication Technology,2020/5/18,18,Exploring Self-organisation in Crowd Teams,3.0544772
10.1007/978-3-030-39634-3_12,10.1007,1868-4238,book-chapter,Springer International Publishing,IFIP Advances in Information and Communication Technology,2020/5/18,19,"Framework for Pupil-to-Student Transition, Learning Environment and Semester Start for First-Year Students",2.6081603
10.1007/978-3-030-39634-3_6,10.1007,1868-4238,book-chapter,Springer International Publishing,IFIP Advances in Information and Communication Technology,2020/5/18,35,Software Assisted Privacy Impact Assessment in Interactive Ubiquitous Computing Systems,3.0544772
10.1007/978-3-030-39634-3_10,10.1007,1868-4238,book-chapter,Springer International Publishing,IFIP Advances in Information and Communication Technology,2020/5/18,46,Empowering Women to Seek Careers in Game Development and Creative IT Studies,3.0544772
10.1007/978-3-030-39634-3_2,10.1007,1868-4238,book-chapter,Springer International Publishing,IFIP Advances in Information and Communication Technology,2020/5/18,10,Alenta: A Practitioner’s Case of Technology Usage to Support Special Needs of Populations with Cognitive Disabilities,2.6081603
10.1111/padr.12322,10.1111,0098-7921,journal-article,Wiley,Population and Development Review,2020/5/18,0,Issue Information,4.4303546
10.1177/0022343319885166,10.1177,0022-3433,journal-article,SAGE Publications,Journal of Peace Research,2020/5/19,84,Dangerously informed: Voter information and pre-electoral violence in Africa,3.0544772
10.1007/978-3-030-39905-4_4,10.1007,1865-0929,book-chapter,Springer International Publishing,Digital Libraries: The Era of Big Data and Data Science,2020/5/19,11,3D Average Common Submatrix Measure,3.0544772
10.1007/978-3-030-39905-4_3,10.1007,1865-0929,book-chapter,Springer International Publishing,Digital Libraries: The Era of Big Data and Data Science,2020/5/19,16,An Information Visualization Tool for the Interactive Component-Based Evaluation of Search Engines,4.561547
10.1007/978-3-030-39905-4_2,10.1007,1865-0929,book-chapter,Springer International Publishing,Digital Libraries: The Era of Big Data and Data Science,2020/5/19,7,Towards a Decision Support Framework for Forensic Analysis of Dynamic Signatures,3.0544772
10.1007/978-3-030-39905-4_9,10.1007,1865-0929,book-chapter,Springer International Publishing,Digital Libraries: The Era of Big Data and Data Science,2020/5/19,22,Re-implementing and Extending Relation Network for R-CBIR,3.0544772
10.1007/978-3-030-39905-4_14,10.1007,1865-0929,book-chapter,Springer International Publishing,Digital Libraries: The Era of Big Data and Data Science,2020/5/19,12,Recognition of Concordances for Indexing in Digital Libraries,3.0544772
10.1007/978-3-030-39905-4_19,10.1007,1865-0929,book-chapter,Springer International Publishing,Digital Libraries: The Era of Big Data and Data Science,2020/5/19,0,"Correction to: Identifying, Classifying and Searching Graphic Symbols in the NOTAE System",2.6081603
10.1002/ldr.3511,10.1002,1085-3278,journal-article,Wiley,Land Degradation & Development,2020/5/20,47,A geographic information system‐based land use impact model to map areas with risk for land degradation: Wind erosion as an example,3.0544772
10.32598/jrh.10.1.53,10.32598,2423-5717,journal-article,Negah Scientific Publisher,Journal of Research & Health,2020/5/20,0,The Psychometric Properties of Health Literacy for Iranian Adults (HELIA) in Medical Sciences Students,6.859384
10.3390/ijgi9020062,10.3390,2220-9964,journal-article,MDPI AG,ISPRS International Journal of Geo-Information,2020/2/18,49,Conciliating Perspectives from Mapping Agencies and Web of Data on Successful European SDIs: Toward a European Geographic Knowledge Graph,3.0544772
10.1002/etc.4669,10.1002,0730-7268,journal-article,Wiley,Environmental Toxicology and Chemistry,2020/5/21,0,Issue Information ‐ Cover,4.4303546
10.13052/nbjict1902-097x.2020.001,10.13052,1902-0988,journal-article,River Publishers,Nordic and Baltic Journal of Information and Communications Technologies,2020/2/3,0,Blockchain Ready Port Supply Chain Using Distributed Ledger,3.8240283
10.33619/2414-2948/50/26,10.33619,2414-2948,journal-article,Publishing Center Science and Practice,Bulletin of Science and Practice,2020/5/22,27,Diversification Management Information System Integrated Structures of the Military-Industrial Complex,3.0544772
10.1080/1369118x.2020.1713844,10.1080,1369-118X,journal-article,Informa UK Limited,"Information, Communication & Society",2020/5/23,64,The differential impact of network connectedness and size on researchers’ productivity and influence,5.3682075
10.1080/1369118x.2020.1713845,10.1080,1369-118X,journal-article,Informa UK Limited,"Information, Communication & Society",2020/5/23,24,"Externalized domestication: smart speaker assistants, networks and domestication theory",5.3682075
10.1080/1369118x.2020.1716043,10.1080,1369-118X,journal-article,Informa UK Limited,"Information, Communication & Society",2020/5/23,19,Perceptions about the impact of automation in the workplace,5.3682075
